projects,labels,texts
Ant,positive,sorry otherwise we will get a classcastexception because the mockcache is loaded by two different classloader
Ant,positive,hack we ask the vm to create an instance by voluntarily providing illegal arguments to force the vm to run the class static initializer while at the same time not running a valid constructor
Ant,positive,singleton for now it may change per classloader
Ant,positive,xxx should not this always return false in isolated mode ?
Ant,positive,to do delete the file if it is not a valid file
Ant,positive,todo comment field does not include all options yet
Ant,positive,to do delete the file if it is not a valid file
Ant,positive,this method checks the timestamp on each file listed in the code ejbfiles code and compares them to the timestamp on the code jarfile code if the code jarfile code is timestamp is more recent than each ejb file code true code is returned otherwise code false code is returned todo find a way to check the manifest file that is found by naming convention param ejbfiles hashtable of ejb classes and other files that will be added to the completed jar file param jarfile jar file which will contain all of the ejb classes and other files return boolean indicating whether or not the code jarfile code is up to date
Ant,positive,have to think about lazy initialization here jhm comparator new java text rulebasedcollator
Ant,positive,todo comment field does not include all options yet
Ant,positive,todo no methods yet for getclassname todo no method for newinstance using a reverse classloader
Ant,positive,the displayname variable stores the value of the display name element from the standard ejb descriptor as a future enhancement to this task we may determine the name of the ejb jar file using this display name but this has not be implemented yet
Ant,positive,an output stream that compresses into the bzip format without the file header chars into another stream p the compression requires large amounts of memory thus you should call the link close  close  method as soon as possible to force tt cbzipoutputstream tt to release the allocated memory p p you can shrink the amount of allocated memory and maybe raise the compression speed by choosing a lower blocksize which in turn may cause a lower compression ratio you can avoid unnecessary memory allocation by avoiding using a blocksize which is bigger than the size of the input p p you can compute the memory usage for compressing by the following formula p pre code k  blocksize code pre p to get the memory required for decompression by link cbzipinputstream cbzipinputstream use p pre code k  blocksize code pre table width border colgroup col width col width col width colgroup tr th colspan memory usage by blocksize th tr tr th align right blocksize th th align right compression br memory usage th th align right decompression br memory usage th tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr tr td align right k td td align right k td td align right k td tr table p for decompression tt cbzipinputstream tt allocates less memory if the bzipped input is smaller than one block p p instances of this class are not threadsafe p p todo update to bzip  p
Ant,positive,xxx log an error ? throw an exception ?
Ant,positive,todo allow user to request the system or no parent
Ant,positive,if there was any text before this add it as a fragment todo this check could be modified to go if pos prev seems like this current version could stick empty strings into the list
Ant,positive,xxx add exceptions
Ant,positive,todo this is duplicating testresult information only the time is not part of the result so we d better derive a new class from testresult and deal with it sb
Ant,positive,not sure whether this test is needed but cost nothing to put hope it will be reviewed by anybody competent
Ant,positive,testcases for link xsltprocess task xxx merge with link xslttest ? version
Ant,positive,does not work depending on the compression engine used compressed bytes may differ false errors would be reported asserttrue file content mismatch file utils contentequals project resolvefile expected asf logo huge tar bz  project resolvefile asf logo huge tar bz
Ant,positive,this is the wrong test if the remote os is openvms but there does not seem to be a way to detect it
Ant,positive,process does not die properly under this combination thus test fails no workaround ?
Ant,positive,junit test assertequals error junittestrunner failures runner getretcode  fixme as of now does not report the original stacktrace asserttrue error error indexof thrown on purpose
Ant,positive,the property is an id is thing either a property or a path we need to make sure that the object was created with the given id we do not have an adequate way of testing the actual value of the path object though
Ant,positive,where oh where has my test case gone ?
Ant,positive,attribute names and values while the xml spec does not require preserving the order afaik  some ant tests do rely on the exact order the following code is copied from attributeimpl we could also just use sax attributes and convert to sax dom attribute nodes can also be stored in sax attributes xxx under jdk  you can just use a linkedhashmap for this purpose jglick the only exception to this order is the treatment of refid a number of datatypes check if refid is set when other attributes are set this check will not work if the build script has the other attribute before the refid attribute so now ant  the refid attribute will be processed first
Ant,negative,test a process that runs and failed
Ant,negative,ignore
Ant,negative,process should abort
Ant,negative,user password host path notation
Ant,negative,param event the build event that is being logged
Ant,negative,only track progress for files larger than kb in verbose mode
Ant,negative,element does not handle text content
Ant,negative,send c filesize filename where filename should not include
Ant,negative,clearcase items
Ant,negative,assign actual codes for the tables
Ant,negative,reserved
Ant,negative,size of the central directory
Ant,negative,gcj does not support an extension dir extdir so we will emulate it for compatibility and convenience
Ant,negative,at this point we are probably in failure mode but try to use the bare uri as a last gasp
Ant,negative,unreserved
Ant,negative,datatype can have a no arg constructor or take a single project argument
Ant,negative,out
Ant,negative,b may be for success  for error  for fatal error
Ant,negative,not whitespace fail
Ant,negative,fall tru
Ant,negative,ndata
Ant,negative,c filesize filename header for a regular file t time time n present if perserve time d directory this is the header for a directory
Ant,negative,version
Ant,negative,fall tru
Ant,negative,wince is not really x but crippled enough to be a muchness ant doesnt run on ce anyway
Ant,negative,ignore
Ant,negative,nwarn
Ant,negative,if a label has been supplied and it is a revision label use the raw the view as the snapshot
Ant,negative,class does not have a string constructor but a decent factory method
Ant,negative,total number of entries in
Ant,negative,check for r r n and r r n regard r r not followed by n as two lines
Ant,negative,success the xml commons resolver library is available so use it
Ant,negative,it is a new file set the revision but not the prevrevision
Ant,negative,catch script ant mismatch with a meaningful message we could ignore it but there are likely to be other version problems so we stamp down on the configuration now
Ant,negative,do not know the type should throw exception instead ?
Ant,negative,ignore
Ant,negative,char and character get special treatment take the first character
Ant,negative,do nothing
Ant,negative,scan base dirs to build up compile lists only if a specific classname is not given
Ant,negative,write a properties file in each directory
Ant,negative,simple name specified parent dir name
Ant,negative,requires version as we are going to store length info in the data descriptor
Ant,negative,the test runner that wrap the dummy formatter that interests us
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,first try with project
Ant,negative,the resourcelocation may specify a relative path for its location attribute this is resolved using the appropriate base
Ant,negative,can return "null" to represent the bootstrap class loader see api docs of class getclassloader
Ant,negative,start of the central directory
Ant,negative,private static final int get entry
Ant,negative,file comment
Ant,negative,there were no revisions in this changelog entry so lets move onto next file
Ant,negative,same date if dest timestamp is within granularity of the srcfile
Ant,negative,must be add
Ant,negative,somewhat arbitrary choices that are quite common for shared installations
Ant,negative,enumeratedattributes have their own helper class
Ant,negative,selectors are implicitly anded in directoryscanner to revert their logic we wrap them into a none selector instead
Ant,negative,first off make sure that we have got a srcdir and destdir
Ant,negative,zips store time with a granularity of seconds round up
Ant,negative,viewpath
Ant,negative,helper methods should be in buildfiletest
Ant,negative,build the command line from what we got the format is cleartool lsco options viewpath as specified in the cleartool exe help
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,check if list of files to check has been specified
Ant,negative,testnocrash is the test invoked by the capturetosummary is junit task
Ant,negative,if the two substrings are longer than the original then name contains address so reset the name to "null"
Ant,negative,default
Ant,negative,log options used
Ant,negative,ignore
Ant,negative,version
Ant,negative,ignore
Ant,negative,nwarn
Ant,negative,ignore
Ant,negative,dummy formatter just to catch the error
Ant,negative,we do not expect to find this
Ant,negative,resolve relative paths through project
Ant,negative,ignore
Ant,negative,patch file into the fileset
Ant,negative,we do not expect to find this
Ant,negative,type value
Ant,negative,bit set to signal we use a data descriptor
Ant,negative,c
Ant,negative,default
Ant,negative,underscores go in front of invalid start chars
Ant,negative,use to scan own archive
Ant,negative,tests the link xsltprocess task xxx merge with link styletest ? since ant
Ant,negative,pr
Ant,negative,it is a modified file set the revision and the prevrevision
Ant,negative,throw in drive letters
Ant,negative,set our parent dir
Ant,negative,promised to eliminate consecutive slashes after drive letter
Ant,negative,c
Ant,negative,promised to eliminate consecutive slashes after drive letter
Ant,negative,cfile
Ant,negative,avoid multiple configurations
Ant,negative,version to use for addxxx and addconfiguredxxx
Ant,negative,pr
Ant,negative,compare the destination with the temp file
Ant,negative,pr
Ant,negative,cfile
Ant,negative,pr
Ant,negative,smtp auth only allowed with mime mail
Ant,negative,all three specified and all three exist true
Ant,negative,cfile
Ant,negative,can return "null" to represent the bootstrap class loader see api docs of class getclassloader
Ant,negative,an address to send from is required
Ant,negative,file is not found in specified filepath
Ant,negative,set the character set if not done already and required
Ant,negative, is  and even so it is considered failure on any platform currently supported by execute isfailure
Ant,negative,checkstyle membernamecheck on
Ant,negative,ignore
Ant,negative,eof has been reached
Ant,negative,decide whether to copy the existing arg set or build a new one from the list of all args excluding the special operations that only we handle
Ant,negative,type
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,wait for time out  there should be about time out ms remaining before timeout
Ant,negative,fragments addelement value substring pos  pos  prev pos
Ant,negative,well no matching constructor
Ant,negative,check that dir and src are incompatible
Ant,negative,ok try without
Ant,negative,ignore
Ant,negative,checkstyle visibilitymodifier on
Ant,negative,set up a vsshistory task
Ant,negative,ptime
Ant,negative,ignore
Ant,negative,throws ejbcexception if unsuccessful
Ant,negative,tests one the file object
Ant,negative,make a limited attempt to extract a sanitized name and email address algorithm based on the one found in ant is mailmessage java
Ant,negative,if the file being added is meta inf application xml we warn if it is not the one specified in the appxml attribute or if it is being added twice meaning the same file is specified by the appxml attribute and in a fileset element
Ant,negative,if at eolcount and trailing characters of string are ctrl zs set eofstr
Ant,negative,we have extra elements
Ant,negative,keep
Ant,negative,tests one the file object
Ant,negative,keep searching for the first z
Ant,negative,viewpath
Ant,negative,identical
Ant,negative,conversion to url via fileutils like in xmlresultaggregator not as suggested in the bug report
Ant,negative,trailing characters are zs construct new line and eofstr
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,check for required attributes
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,do nothing
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,permissible values for compression attribute
Ant,negative,fall tru
Ant,negative,build the command line from what we got the format is cleartool mkattr options viewpath as specified in the cleartool help
Ant,negative,testcases for the cache implementations
Ant,negative,default
Ant,negative,does the selection
Ant,negative,replace
Ant,negative,should be full moon
Ant,negative,add or add configured
Ant,negative,s a further s
Ant,negative,for directories
Ant,negative,s a further s
Ant,negative,recurse
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,renamed version of original file if it exists
Ant,negative,order of headers cannot be guaranteed
Ant,negative,type
Ant,negative,ignore
Ant,negative,now stop the watchdog
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,the method called to set the attribute
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,add the files found in groupfileset to fileset
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,can also handle empty archives
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,maintain a sorted list of targets
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,quick exit if the target is up to date
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,viewpath
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,choosing character set of the mail message first looking it from mimetype
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,next looking if charset having explicit definition
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,scanner to find our inputs list of files to process
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,if src and dest dirs are the same require the extension to be set so we do not stomp every file one could still include a file with the same extension but
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,viewpath
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,viewpath
Ant,negative,ignore
Ant,negative,clearcase items
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,clearcase items
Ant,negative,ignore
Ant,negative,checkstyle visibilitymodifier off bc checkstyle membernamecheck off bc
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,couldnt use the xerces or jaxp calls
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,nwarn
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,c
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,c
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,enable schema setfeature xmlconstants feature validation false
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,cfile
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,first cr in this line
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,if this is our context we assume there must be something here
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,wait for the thread to die should be the end of the process
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,we are recreating the archive need all resources
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,ptime
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,keep
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,windows quoting of the value
Ant,negative,checkstyle visibilitymodifier on
Ant,negative,mac style linebreak or eof or both
Ant,negative,checkstyle visibilitymodifier on
Ant,negative,build the command line from what we got the format is cleartool mkelem options viewpath as specified in the cleartool exe help
Ant,negative,fall tru
Ant,negative,variables to hold arguments
Ant,negative,impossible as getmethods should only return public methods
Ant,negative,copy the source and support files
Ant,negative,boolean and boolean get special treatment because we have a nice method in project
Ant,negative,create an array of strings for input to the compiler one array comes from the compile options the other from the compilelist
Ant,negative,impossible as getmethods should only return public methods
Ant,negative,should choose either ci or nco
Ant,negative,impossible as getmethods should only return public methods
Ant,negative,nco
Ant,negative,isync is needed otherwise threads can load the same class twice resulting in linkageerror duplicated class definition findloadedclass avoids that but without sync it wo not work
Ant,negative,nco
Ant,negative,make sure we are not going to get the path separator next
Ant,negative,error level logging for compiler errors
Ant,negative,execute the top level target
Ant,negative,need to reset java class path property since the netrexx compiler has no option for the classpath
Ant,negative,the current character is always emitted
Ant,negative,check the command line options
Ant,negative,if at eof with no characters in the buffer return eof
Ant,negative,ant task properties defaults checkstyle visibilitymodifier off bc
Ant,negative,set in excludes to reasonable defaults if needed
Ant,negative,delete a bogus zip file but only if it is not the original one
Ant,negative,if parent is "null" then we are at the root of the fs complain that we ca not find the build file
Ant,negative,ci
Ant,negative,url
Ant,negative,object selector
Ant,negative,ignore path elements which are invalid relative to the project
Ant,negative,in this case using java util zip will not work because it does not permit a zero entry archive must create it manually
Ant,negative,record data about the last scanned resource
Ant,negative,build the command line from what we got the format is cleartool uncheckout options viewpath as specified in the cleartool exe help
Ant,negative,not significant for the class loader
Ant,negative,cf pkzip specification
Ant,negative,ignore
Ant,negative,master
Ant,negative,initialize the globalfileset is project
Ant,negative,rm
Ant,negative,not significant for the class loader
Ant,negative,im not fond of this pattern sub method expected to throw task cancelling exceptions it feels too much like programming for side effects to me
Ant,negative,do not have to check for public since getmethod finds public method only do not have to check for abstract since then taskclass would be abstract too
Ant,negative,overriding target from imported buildfile is allowed
Ant,negative,not significant for the class loader
Ant,negative,end of try catch
Ant,negative,not significant for the class loader
Ant,negative,p k
Ant,negative,sorted by newest kaffe version first
Ant,negative,remainder zeros
Ant,negative,first build exception
Ant,negative,eltype
Ant,negative,not been visited
Ant,negative,create the stream pumpers to forward listcab is stdout and stderr to the log note listcab is an interactive program and issues prompts for every new line therefore make it show only with verbose logging turned on
Ant,negative,ignore
Ant,negative,create
Ant,negative,ignore
Ant,negative,we are recreating the archive need all resources
Ant,negative,attributes
Ant,negative,the buildfile to use
Ant,negative,not included do nothing
Ant,negative,process should be dead and well finished
Ant,negative,mac
Ant,negative,end of try catch
Ant,negative,not included do nothing
Ant,negative,already present
Ant,negative,empty
Ant,negative,initialresources is not empty
Ant,negative,avoid double scanning of directories can only happen in fast mode
Ant,negative,initialresources is not empty
Ant,negative,the current character is always emitted
Ant,negative,default to string type which means do nothing
Ant,negative,ignore
Ant,negative,higher derived
Ant,negative,predefined filters
Ant,negative,we are recreating the archive need all resources
Ant,negative,ignore
Ant,negative,if only value is specified the property is set to it regardless of its previous value
Ant,negative,common properties the following properties are required by import and other tasks that read build files using projecthelper
Ant,negative,if value and default are both specified and the property did not exist in the property file the property is set to default
Ant,negative,empty
Ant,negative,we are recreating the archive need all resources
Ant,negative,collect filesets to pass them to getresourcestoadd
Ant,negative,viewpath
Ant,negative,check to what is in the classname
Ant,negative,version
Ant,negative,bad luck there are resources in the filesets that make the archive out of date but not in the non fileset resources we need to rescan the non filesets to grab all of them now
Ant,negative,no emptybehavior handling since the fileset version will take care of it
Ant,negative,not significant for the class loader
Ant,negative,c
Ant,negative,may be altered in validate
Ant,negative,c
Ant,negative,calculate our destination directory it is either the destdir attribute or the base dir of the fileset for in situ updates
Ant,negative,we will return initialresources anyway no reason to scan further
Ant,negative,error messages
Ant,negative,cfile
Ant,negative,not a known type
Ant,negative,cfile
Ant,negative,ignore
Ant,negative,no point in setting a message
Ant,negative,if filename does not match the to attribute of the mapper then filter it out of the files we are considering
Ant,negative,we will return initialresources anyway no reason to scan further
Ant,negative,the current character is always emitted
Ant,negative,warn do not use the streamsource file ctor it wo not work with xalan prior to  because of systemid bugs
Ant,negative,disk number start
Ant,negative,rmall force
Ant,negative,ignore
Ant,negative,byte byte compare
Ant,negative,ignore
Ant,negative,specify output in utf otherwise accented characters will blow up everything
Ant,negative,ignore
Ant,negative,had to make two separate commands here because if a space is inserted between the flag and the value it is treated as a windows filename with a space and it is enclosed in double quotes  this breaks clearcase
Ant,negative,ignore
Ant,negative,print the stacktrace in the build file it is always useful better have too much info than not enough
Ant,negative,may be on a case insensitive file system we want the results to show what is really on the disk so we need to double check
Ant,negative,zips store time with a granularity of seconds round up
Ant,negative,url
Ant,negative,build the command line from what we got the format is cleartool checkin options viewpath as specified in the cleartool exe help
Ant,negative,put back the original security manager the following will never eval to true pd
Ant,negative,identical
Ant,negative,the current character is always emitted
Ant,negative,param event the build event that is being logged
Ant,negative,all the names are the same check if the class path of the loader is the same
Ant,negative,for debugging purposes uncomment org wc dom comment s doc createcomment stack threadstack buildelement element appendchild s
Ant,negative,find the line breaks and pass other chars through in blocks
Ant,negative,do not add directories we have already added no warning if we try it is harmless in and of itself
Ant,negative,checkstyle visibilitymodifier on
Ant,negative,check for required attributes
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,check for required attributes
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,replace
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,recurse
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,buildlogger interface
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,path swallows the basedir it seems asserttrue  getproject  resolvefile a exists
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,use a stream so that you can close it yourself quickly and avoid keeping the handle until the object is garbaged always keep control  otherwise you wo not be able to delete the file quickly on windows
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,returns list of ejbs for processing
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,a refid attribute for a node within a path object
Ant,negative,ignore exception
Ant,negative,type kind type name
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,ignore
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,junit does not distinguish between errors and failures even in the junit adapter so we need to help it a bit to retain compatibility for junit tests
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,get the fileset and its basedir
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,should not happen
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,return the type selector
Ant,negative,now another magic bit number x to indicate the end of the last block sqrt pi  if you want to know i did want to use e but it contains too much repetition  for me to feel statistically comfortable call me paranoid
Ant,negative,lf is always end of line i e crlf or single lf
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,full
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,sort the list makes scm and manual diffs easier
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,create xml document
Ant,negative,ignore
Ant,negative,incremental
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,get the fileset and its basedir
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,cr without lf send buffer then add char
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,nlabel
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,implementation of org apache tools ant taskdefs executestreamhandler interface
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,baseline root name
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,add into buffer
Ant,negative,checkstyle visibilitymodifier off bc
Ant,negative,if configured to not care about whether the element is already checked out to the current view then check to see if it is checked out
